perfume,brand,gender,rating_value,rating_count,year,mainaccord1,mainaccord2,mainaccord3,mainaccord4,notes,luxury_or_cheap
love,avon,women,3.15,157,2014.0,floral,fruity,rose,white floral,"apple blossom, fruity notes, orange, rose, lily-of-the-valley, jasmine, musk, white woods, vanilla",cheap
cherish-escape,avon,women,3.16,69,2020.0,other,citrus,powdery,rose,"pink grapefruit, pear, wild strawberry leaf, violet, rose petals, jasmine sambac, sandalwood, amber, dark chocolate",cheap
pur-blanca-elegance,avon,women,3.16,317,2013.0,white floral,other,fruity,powdery,"pear, strawberry, mandarin orange, gardenia, white orchid, jasmine, white musk, vanila, amber",cheap
rose-amber-cologne-2024,jo-malone-london,women,3.16,45,2024.0,other,other,amber,musky,"clove, pink pepper, rose, ginger, amber, white musk, patchouli",luxury
aventus-oil,creed,men,3.17,36,2021.0,woody,fruity,mossy,earthy,"pineapple, bergamot, black currant, apple, birch, patchouli, jasmine, rose, oakmoss, musk, ambergris, vanilla",luxury
bonne-etoile-baby-dior,dior,unisex,3.18,28,2023.0,other,other,,,"green pear, wild rose, white musk",luxury
summer-white,avon,women,3.19,1086,2011.0,other,other,fresh,white floral,"aldehydes, grapefruit, freesia, jasmine, lily-of-the-valley, orange, orchid, musk, sandalwood",cheap
pretty-glamorous,avon,women,3.2,40,2013.0,citrus,woody,floral,fresh,"lemon, bergamot, peony, sandalwood",cheap
le-male-xmas-limited-edition,jean-paul-gaultier,men,3.22,83,2023.0,other,other,aromatic,fresh spicy,"mint, lavender, vanilla",luxury
prada-paradoxe-virtual-flower,prada,women,3.22,36,2024.0,white floral,other,citrus,floral,"bergamot, jasmine, neroli, musk, ambrette",luxury
eclat-d-arpege-limited-edition,lanvin,women,3.22,79,2009.0,citrus,white floral,woody,rose,"mandarin orange, bergamot, grapefruit, rose, peach, african orange flower, jasmine, musk, virginia cedar, vetiver, amber",cheap
scentini-citrus-chill,avon,women,3.23,195,2011.0,citrus,fruity,floral,tropical,"blood orange, mandarin orange, guava, passion flower, apple blossom, musk, amber",cheap
full-speed-power,avon,men,3.24,33,2014.0,other,woody,citrus,fresh spicy,"lemon, rosemary, cedar",cheap
summer-white-bright,avon,women,3.24,141,2015.0,white floral,citrus,aromatic,fresh,"lemon, lily-of-the-valley, tagetes",cheap
black-opium-storm-illusion,yves-saint-laurent,women,3.24,29,2020.0,woody,white floral,musky,sweet,"pink pepper, orange blossom, mandarin orange, bergamot, pear, tuberose, licorice, coffee, bitter almond, jasmine sambac, cashmirwood, white musk, vanilla, patchouli, cedar",luxury
up-to-you-for-her,avon,women,3.25,119,2011.0,floral,woody,fruity,powdery,"peach, mandarin orange, freesia, magnolia, peony, lily-of-the-valley, sandalwood, leather, cedar",cheap
viva-by-fergie,avon,women,3.25,537,2012.0,other,aromatic,lavender,woody,"green notes, bergamot, lavender, mint, narcissus, vetiver, woody notes, white musk",cheap
incandessence-flame,avon,women,3.25,193,2014.0,white floral,other,soft spicy,powdery,"pink pepper, gardenia, jasmine, musk",cheap
defy,calvin-klein,men,3.25,667,2021.0,other,citrus,lavender,fresh spicy,"bergamot, lavender, vetiver, amber",cheap
instinct-forbidden,avon,women,3.27,211,2014.0,fruity,citrus,white floral,fresh,"lemon peel, red berries, gardenia, violet, tahitian vanilla",cheap
today-tomorrow-always-diamond,avon,women,3.27,168,2010.0,other,other,white floral,yellow floral,"hyacinth, african orange flower, stephanotis, narcissus, orchid, arum lily, musk, vetyver, palisander rosewood",cheap
oud-mood-elixir,lattafa-perfumes,unisex,3.27,138,,other,other,oud,leather,"saffron, nutmeg, cinnamon, agarwood (oud), suede, sandalwood, amber, vanilla",cheap
homme,avon,men,3.28,46,2016.0,woody,aromatic,iris,powdery,"coriander, citruses, cardamom, iris, cedar, vetiver",cheap
secret-fantasy-kiss,avon,women,3.28,273,2012.0,fruity,other,tropical,floral,"blackberry, mango, green apple, magnolia, rose petals, violet, amber, sandalwood, moss",cheap
v-for-victory-gold,avon,men,3.3,27,2020.0,other,other,soft spicy,woody,"madagascar pepper, coriander extract, vetiver",cheap
powerful-flowers-lila,avon,women,3.3,69,2020.0,other,white floral,musky,powdery,"green notes, lily, musk",cheap
ck-free-blue,calvin-klein,men,3.3,151,2011.0,other,other,fresh,aromatic,"lavender, mint, mandarin orange, water notes, green notes, cardamom, nutmeg, musk, amber, leather",cheap
red-door,elizabeth-arden,women,3.3,3908,1989.0,floral,white floral,sweet,powdery,"rose, orange blossom, plum, violet, peach, anise, honey, carnation, rose, tuberose, ylang-ylang, jasmine, lily, lily-of-the-valley, freesia, orchid, sandalwood, amber, benzoin, musk, heliotrope, vetiver, cedar",cheap
lail-maleki,lattafa-perfumes,unisex,3.3,187,2018.0,white floral,other,fruity,honey,"fruity notes, citruses, spicy notes, jasmine, honey, gardenia, orchid, sandalwood, musk, amber, caramel",cheap
avon-beautiful-butterfly,avon,women,3.31,170,2015.0,white floral,other,fruity,green,"green apple, nectarine, lemon, lily-of-the-valley, gardenia, jasmine, musk, woodsy notes, madagascar vanilla",cheap
delicious-sensations-caramapple,avon,women,3.33,45,2020.0,other,fruity,fresh,green,"caramel, green apple, lily",cheap
full-speed-surfer,avon,men,3.33,27,2022.0,other,other,aromatic,citrus,"ozonic notes, lime, peppermint, cardamom, betel pepper, vetiver, labdanum, patchouli",cheap
rare-onyx,avon,women,3.33,75,2022.0,other,other,amber,vanilla,"dark plum wu mei, neroli, apricot, rose, lotus, mimosa, musk, amber, vanilla",cheap
today-tomorrow-always-in-love-2016,avon,women,3.34,158,2016.0,floral,other,musky,white floral,"carambola (star fruit), neroli, pomegranate, water lily, tulip, peony, pink pepper, tuberose, gardenia, musk, amber, woody notes",cheap
riviera-goddess,avon,women,3.35,239,2013.0,white floral,citrus,woody,sweet,"peach, mandarin orange, floral notes, patchouli, musk",cheap
black-essential-night,avon,men,3.35,31,2017.0,other,aromatic,warm spicy,powdery,"basil, black pepper, bergamot, cardamom, violet, nutmeg, sandalwood, amber, vanilla",cheap
musk-butterfly,by-kilian,women,3.35,89,2021.0,other,other,floral,fresh,"aldehydes, damask rose, turkish rose, geranium, violet, violet leaf, ambrette (musk mallow), sandalwood",luxury
sexy-ruby,michael-kors,women,3.35,609,2017.0,fruity,other,sweet,white floral,"raspberry, apricot, rose petals, jasmine sambac, cashmere wood",luxury
outspoken-fresh,avon,women,3.36,210,2013.0,fruity,other,white floral,floral,"guava, peach, litchi, orange blossom, magnolia, jasmine, iris, sandalwood, leather",cheap
ck-free-sport,calvin-klein,men,3.36,50,2014.0,citrus,white floral,woody,marine,"sea notes, bergamot, orange, lily-of-the-valley, lotus, jasmine, sandalwood, cedar, amber",cheap
eternity-aromatic-essence,calvin-klein,women,3.36,111,2024.0,other,other,lavender,woody,"aqual, lavender, ambrette, lime, salt, coconut water, peony, black currant, sandalwood",cheap
peace-love-and-juicy-couture,juicy-couture,women,3.36,1905,2010.0,floral,other,fruity,sweet,"hyacinth, cassis, red apple, amalfi lemon, red poppy, lime (linden) blossom, honeysuckle, jasmine, magnolia, musk, patchouli, orris root",cheap
darcy,parfums-de-marly,women,3.36,660,2014.0,citrus,other,woody,sweet,"citruses, orange, lemon, rose, jasmine, patchouli, sweet notes, white musk, woody notes",luxury
instinct-for-her,avon,women,3.37,527,2013.0,other,other,floral,woody,"green notes, camelia, sandalwood",cheap
simply-her,avon,women,3.37,130,2013.0,white floral,citrus,woody,soft spicy,"orange, lily, cedar",cheap
cherry-mousse,avon,women,3.37,35,2013.0,other,citrus,fruity,coconut,"strawberry, ice cream, pomelo, rosa rubiginosa, blood orange, coconut, violet, musk",cheap
perceive,avon,women,3.37,3334,2000.0,floral,fruity,sweet,fresh spicy,"yellow freesia, white pepper, pear, carnation, damask plum, ylang-ylang, musk, sandalwood, vanilla orchid, cedar",cheap
ck-free,calvin-klein,men,3.37,1492,2009.0,woody,aromatic,fresh spicy,anis,"juniper berries, star anise, wormwood, jackfruit, suede, tobacco, coffee, buchu or agathosma, virginia cedar, oak, patchouli, woody notes",cheap
curve-kicks-for-men,liz-claiborne,men,3.37,57,2006.0,woody,aromatic,fresh spicy,musky,"mint, bergamot, caraway, ginger, anise, mandarin orange, cedar, labdanum, cardamom, lavender, musk, cashmere wood, sandalwood, vetiver, amber, patchouli, oakmoss",cheap
passion-dance,avon,women,3.38,1990,2003.0,woody,other,rose,citrus,"grapefruit, lemon, papaya flower, black rose, narcissus, jasmine, immortelle, water lily, oakmoss, patchouli, amber, vetiver, sandalwood, musk",cheap
eternity-for-men-intense,calvin-klein,men,3.38,188,2016.0,other,aromatic,woody,iris,"white pepper, grapefruit, black tea, bergamot, iris, geranium, rhubarb, lavender, vetiver, cedar, cashmere wood",cheap
joy-by-dior,dior,women,3.38,4346,2018.0,citrus,woody,powdery,white floral,"bergamot, mandarin orange, jasmine, grasse rose, peach, cassis, white musk, sandalwood, cedar, patchouli, benzoin",luxury
ultraviolet-aurore-borealis-edition,paco-rabanne,women,3.38,34,2004.0,other,other,vanilla,fruity,"pepper, osmanthus, amber, vanilla",luxury
true-life,avon,men,3.39,28,2014.0,citrus,other,woody,champagne,"orange, pineapple, champagne, violet leaf, cedar, cashmere musk",cheap
eve-duet-contrasts-daring,avon,women,3.39,61,2019.0,fruity,other,sweet,woody,"patchouli, jasmine sambac, raspberry, sorbet",cheap
lily-soft-musk,avon,women,3.39,152,,floral,white floral,musky,fresh,"water hyacinth, freesia, marigold, white lily, lily-of-the-valley, peony, musk, vanilla, cashmere wood",cheap
spiced-green-tea,elizabeth-arden,women,3.39,432,2001.0,other,other,aromatic,citrus,"ginger, anise, rhubarb, lemon verbena, lemon, tea, cardamom, jasmine, incense, sandalwood, labdanum, patchouli",cheap
genius-me,paco-rabanne,unisex,3.39,115,2019.0,citrus,other,metallic,aromatic,"orange peel, rosemary, metallic notes, moss",luxury
eclat-d-arpege-sheer,lanvin,women,3.39,261,2020.0,floral,white floral,fresh,musky,"lotus leaf, mandarin orange, pitahaya, lily-of-the-valley, peony, water jasmine, white musk, cedar, amber",cheap
eternity-for-men-summer-2009,calvin-klein,men,3.4,30,2009.0,other,other,citrus,woody,"gin, lime, bergamot, chamomile, basil, pepper, star anise, amber, hinoki wood",cheap
champion-energy,davidoff,men,3.4,313,2011.0,citrus,other,aromatic,woody,"grapefruit, bergamot, spices, galbanum, oak moss, virginia cedar",cheap
viva-la-vita,avon,women,3.41,519,2016.0,floral,citrus,fruity,powdery,"apple, pink grapefruit, mandarin orange, magnolia, mimosa, rose, sandalwood, cashmeran, vanilla",cheap
delicious-sensations-choc-berry,avon,women,3.41,41,2020.0,other,fruity,chocolate,white floral,"strawberry, chocolate, jasmine",cheap
powerful-flowers-roseta,avon,women,3.41,44,2020.0,other,other,,,"litchi, bulgarian rose, vanilla",cheap
2000-fleurs,creed,women,3.41,140,2001.0,floral,other,green,white floral,"magnolia, black currant, rose, violet, mandarin orange, green tea, iris, lily, narcissus, lilac, jasmine, musk, sandalwood, amber",luxury
blossom-me,paco-rabanne,unisex,3.41,51,2021.0,citrus,other,white floral,aromatic,"green mandarin, orange blossom, herbal notes, mint, vetiver",luxury
individual-blue-for-him,avon,men,3.42,446,2003.0,other,other,herbal,musky,"blue sage, lavender, grapefruit, rosemary, geranium, pepper, musk, sandalwood",cheap
only-imagine,avon,women,3.42,388,2013.0,fruity,other,powdery,violet,"green apple, raspberry leaf, blackberry, violet, peony, black currant, musk, sandalwood, cedar",cheap
little-sequin-dress,avon,women,3.42,126,2017.0,floral,other,fruity,citrus,"mango, mandarin orange, exotic floral notes, gardenia, musk, sandalwood, amber",cheap
pur-blanca-smile,avon,women,3.42,69,2017.0,floral,fruity,citrus,fresh,"peach, citruses, pear, magnolia, peony, rose, musk, vanilla, patchouli",cheap
dkny-be-delicious-city-chelsea-girl,donna-karan,women,3.42,31,2017.0,other,other,fruity,musky,"apple, black rose, orchid, white musk",cheap
just-play-for-her,avon,women,3.43,209,2009.0,citrus,other,green,sweet,"petitgrain, cardamom, lily-of-the-valley, clementine, white tea, freesia, orange blossom, musk, sandalwood, mate",cheap
femme-icon,avon,women,3.43,314,2015.0,fruity,other,rose,patchouli,"strawberry, raspberry, rose, iris, patchouli, musk",cheap
212-surf-for-her,carolina-herrera,women,3.43,128,2014.0,other,aromatic,musky,salty,"sea notes, woodsy notes, musk",luxury
dkny-be-delicious-shine,donna-karan,women,3.43,158,2007.0,other,other,fruity,citrus,"american apple, cucumber, grapefruit, magnolia, lily-of-the-valley, rose, tuberose, violet, sandalwood, white amber, white woods",cheap
white-diamonds,elizabeth-taylor,women,3.43,3050,1991.0,white floral,other,woody,yellow floral,"aldehydes, lily, neroli, orange, bergamot, egyptian tuberose, jasmine, ylang-ylang, narcissus, carnation, italian orris root, turkish rose, cinnamon, amber, musk, sandalwood, oakmoss, patchouli",cheap
free-for-her,avon,women,3.44,162,2017.0,other,other,fruity,white floral,"pear, magnolia, tyger lily, orange blossom, amber, patchouli",cheap
perceive-cashmere,avon,women,3.44,78,2022.0,other,white floral,woody,fruity,"peach, gardenia, cashmere wood, musk",cheap
summer-white-sunrise,avon,women,3.44,305,2014.0,other,other,sweet,floral,"pear, mandarin orange, rose, orchid, orange blossom, musk",cheap
green-tea-yuzu,elizabeth-arden,women,3.44,444,2014.0,citrus,other,aromatic,fresh spicy,"yuzu, green tea, bergamot, lemon, lemon leaf, yuzu, green tea, thyme, mint, tunisian neroli, currant buds, musk, birch, ambrette (musk mallow)",cheap
sunflowers,elizabeth-arden,women,3.44,5197,1993.0,fruity,citrus,floral,fresh,"melon, peach, orange blossom, lemon, mandarin orange, bergamot, brazilian rosewood, cyclamen, osmanthus, rose, jasmine, orris root, sandalwood, musk, amber, oakmoss, cedar",cheap
classique-l-eau-d-ete-2007,jean-paul-gaultier,women,3.44,41,2007.0,white floral,citrus,sweet,powdery,"orange blossom, sicilian lemon, clementine, rose, jasmine, white iris, ylang-ylang, lily-of-the-valley, musk, vanilla, amber",luxury
wave-2-for-her,hollister,women,3.44,283,2017.0,other,white floral,fruity,coconut,"coconut nectar, peach, mandarin orange, tiare flower, water lily, pink freesia, sand, driftwood, orchid",cheap
curve-kicks,liz-claiborne,women,3.44,188,2006.0,fruity,other,sweet,citrus,"mandarin orange, melon, pear, cassia, passionfruit, peony, freesia, lily-of-the-valley, peach, vanilla, vetiver, cedar, sandalwood",cheap
lanvin-me-limited-edition-2015,lanvin,women,3.44,27,2015.0,floral,citrus,fruity,fresh,"citruses, floral notes, peach, cedar, musk",cheap
ice-sheers-luscious,avon,women,3.45,172,2010.0,citrus,other,vanilla,fresh,"lemonade, sugar, lemon, citruses, lily, orange blossom, sweet notes, lemon, vanilla, musk, amber",cheap
encanto-charming,avon,women,3.45,44,2019.0,fruity,other,woody,tropical,"pineapple, blackberry, sandalwood",cheap
latin-sensation,avon,women,3.45,143,2012.0,other,other,fruity,aromatic,"cardamom, red apple, blood orange, carnation, jasmine, osmanthus, sandalwood, vanila, tonka bean",cheap
ck-everyone-eau-de-parfum,calvin-klein,unisex,3.45,406,2022.0,citrus,other,aromatic,woody,"orange, black tea, haitian vetiver",cheap
ajwad-pink-to-pink,lattafa-perfumes,unisex,3.45,117,2024.0,fruity,other,tropical,citrus,"guava, pink grapefruit, litchi, pink pepper, rose, peony, magnolia, leather, musk, ambergris, vanilla, moss",cheap
fabulous-me,paco-rabanne,unisex,3.45,159,2019.0,woody,other,fruity,sweet,"pumpkin, rhubarb, sandalwood",luxury
y-elixir,yves-saint-laurent,men,3.45,788,2024.0,other,aromatic,lavender,amber,"lavender, geranium, frankincense, oud",luxury
eclat-d-arpege-summer-2007,lanvin,women,3.45,126,2007.0,citrus,fruity,tropical,powdery,"pink grapefruit, carambola (star fruit), litchi, lemon, violet, jasmine, rose, musk, cedar, vanilla",cheap
serenity,kenneth-cole,unisex,3.45,92,2018.0,woody,other,vanilla,warm spicy,"whiskey, white pepper, cashmere wood, sandalwood, peach, tonka bean, vanilla, labdanum",cheap
flor-de-cerejeira,avon,women,3.46,28,2013.0,fruity,other,fresh,sweet,"passionfruit, pineapple, bergamot, cherry blossom, peach, rose, musk, amber",cheap
hawaiian-shores,avon,women,3.46,206,2011.0,fruity,other,tropical,musky,"carambola (star fruit), orchid, hibiscus, musk, woodsy notes, amber",cheap
infinite-moment-for-her,avon,women,3.46,599,2012.0,floral,fruity,sweet,vanilla,"raspberry, floral notes, vanille",cheap
fire-me-up,avon,women,3.46,343,2008.0,citrus,other,fruity,woody,"cherry, pomegranate, grapefruit, blood orange, violet, red amber, musk, vetiver",cheap
downtown,calvin-klein,women,3.46,1784,2013.0,fruity,white floral,citrus,sweet,"pear, plum, italian lemon, bergamot, tunisian neroli, gardenia, pink pepper, violet leaf, musk, texas cedar, incense, vetiver",cheap
gucci-guilty-studs-pour-homme,gucci,men,3.46,89,2013.0,citrus,other,white floral,woody,"lavender, lemon, orange blossom, cedar, patchouli",luxury
prada-candy-sugar-pop,prada,women,3.46,591,2018.0,other,other,sweet,fruity,"red apple, citruses, bergamot leaf, bergamot, white peach, floral notes, vanilla, caramel",luxury
dkny-be-delicious-violet-pop,donna-karan,women,3.46,41,2018.0,other,other,citrus,ozonic,"apple, galbanum, bergamot, violet leaf, magnolia, orange blossom, iris, patchouli, styrax",cheap
water-lily,lanvin,women,3.46,213,2021.0,floral,citrus,aquatic,woody,"pink grapefruit, pomegranate, water lily, water jasmine, musk, sandalwood",cheap
aromadisiac-for-him,avon,men,3.47,121,2010.0,other,woody,fresh spicy,fruity,"coriander, wormwood, sicilian bergamot, fig, sage, cypress, rosemary, patchouli, leather, resins, caraway, nutmeg, vetiver",cheap
masculine-woody,avon,men,3.47,59,2019.0,woody,aromatic,powdery,,"red apple, star anise, lavender, sandalwood, cashmere wood, tea tree oil, cedar, vetiver, patchouli",cheap
stamina,avon,women,3.47,38,2019.0,fruity,other,citrus,white floral,"raspberry, tangerine, pear, grapefruit, jasmine, freesia, rose, lily-of-the-valley, amber, musk, sandalwood",cheap
iced-green-tea,elizabeth-arden,women,3.47,138,2001.0,citrus,aromatic,green,woody,"mint, bergamot, lemon, eucalyptus, orange, mandarin orange, mint, amber, musk",cheap
emporio-armani-in-love-with-you-freeze,giorgio-armani,women,3.47,436,2020.0,woody,other,citrus,floral,"mandarin orange, cherry, bergamot, pear, peony, jasmine sambac, lily-of-the-valley, patchouli, woody notes, white musk, vetiver",luxury
made-to-measure,gucci,men,3.47,1066,2013.0,other,aromatic,lavender,fruity,"lavender, calabrian bergamot, tunisian orange blossom, anise, plum, juniper berries, cinnamon, nutmeg, water lily, leather, amber, patchouli, labdanum",luxury
infusion-de-figue,prada,unisex,3.47,188,2023.0,fruity,other,aromatic,balsamic,"mandarin orange, fig, galbanum, mastic or lentisque",luxury
white-luminous-gold,michael-kors,women,3.47,315,2015.0,other,white floral,fruity,sweet,"pear, jasmine, amber",luxury
dkny-be-delicious-kisses,donna-karan,women,3.47,195,2008.0,fruity,white floral,fresh,citrus,"red apple, cucumber, grapefruit, lily-of-the-valley, tuberose, violet, rose, magnolia, amber, sandalwood, leather",cheap
aqua-for-her,avon,women,3.48,94,2014.0,other,fruity,floral,fresh,"water notes, fruity notes, blue lotus, musk",cheap
my-vibe,avon,men,3.48,58,2011.0,other,other,ozonic,warm spicy,"melon, cardamom, mandarin orange, basil, sage, lily-of-the-valley, cedar, patchouli, ambergris",cheap
avon-luck-limitless-for-her,avon,women,3.48,237,2018.0,citrus,other,fruity,sweet,"pomelo, passion flower, amber",cheap
musk-fire,avon,men,3.48,62,2011.0,other,other,aromatic,musky,"basil, bergamot, cardamom, pepper, musk",cheap
cherish,avon,women,3.48,904,2015.0,white floral,other,fruity,sweet,"pink pepper, raspberry, bergamot, cherry blossom, jasmine sambac, mimosa, tiare flower, white musk, sandalwood",cheap
omnia-by-mary-katrantzou,bvlgari,women,3.48,192,2021.0,white floral,citrus,green,woody,"fig leaf, mandarin orange, orange blossom, gardenia, musk, white woods",luxury
calvin-klein-women,calvin-klein,women,3.48,1597,2018.0,citrus,woody,fresh spicy,white floral,"grapefruit, eucalyptus, bergamot, lemon, black pepper, orange blossom, tea, jasmine, magnolia, hedione, raspberry, cedar, ambroxan, white musk, cashmeran, olibanum, violet",cheap
eternity-for-men-reflections,calvin-klein,men,3.48,69,2023.0,other,other,woody,warm spicy,"absinthe, chocolate, oakmoss, sandalwood",cheap
champion,davidoff,men,3.48,964,2010.0,citrus,aromatic,woody,mossy,"bergamot, lemon, clary sage, galbanum, oakmoss, cedar",cheap
dkny-women-summer-2011,donna-karan,women,3.48,62,2011.0,fruity,citrus,fresh,tropical,"grapefruit, red berries, passionfruit, litchi, magnolia, jasmine, musk, sandalwood, teak wood",cheap
lanvin-me,lanvin,women,3.48,1288,2013.0,fruity,other,sweet,woody,"blueberry, mandarin orange, licorice, tuberose, rose, sandalwood",cheap
instinct-for-him,avon,men,3.49,79,2013.0,woody,citrus,aromatic,herbal,"mandarin orange, sage, ebony",cheap
local-nature-jasmine,avon,unisex,3.49,39,2021.0,white floral,woody,aromatic,floral,"jasmine, sesame, cedar",cheap
titanium-flame,avon,men,3.49,77,2007.0,other,woody,musky,lavender,"pepper, citruses, lavender, musk, cedar, amber, vetiver, patchouli",cheap
today-tomorrow-always-in-love,avon,women,3.49,143,2008.0,white floral,other,fresh spicy,musky,"lotus, neroli, carambola (star fruit), pomegranate, pink tulip, gardenia, tuberose, pepper, musk, woodsy notes, amber",cheap
spring-flower-2023,creed,women,3.49,145,2023.0,white floral,citrus,animalic,amber,"lemon, grapefruit, green notes, bergamot, white flowers, jasmine, apricot, peach, ambergris, musk, cedar",luxury
green-tea-bamboo,elizabeth-arden,women,3.49,433,2014.0,other,woody,citrus,ozonic,"bamboo, lemon, grapefruit, bergamot, galbanum, tamarind, green tea, cucumber, syringa, violet leaf, mate, woody notes, musk, mastic or lentisque, orris root",cheap
hermessence-muguet-porcelain,hermes,unisex,3.49,342,2016.0,other,other,white floral,musky,"green notes, pear, lily-of-the-valley, hedione, neroli, animal notes, white musk",luxury
crazy-me,paco-rabanne,unisex,3.49,113,2019.0,other,other,woody,fresh spicy,"wasabi, mimosa, sandalwood, spices",luxury
phantom,paco-rabanne,men,3.49,4562,2021.0,citrus,other,lavender,earthy,"lavender, lemon zest, amalfi lemon, lavender, earthy notes, apple, smoke, patchouli, vanilla, lavender, vetiver",luxury
kenneth-cole-for-her,kenneth-cole,women,3.49,134,2018.0,other,other,white floral,fresh,"pink peony, carrot seeds, lemon, lily-of-the-valley, jasmine, violet, cyclamen, musk, heliotrope, ambrette (musk mallow), sandalwood",cheap
fashion-model,avon,women,3.5,106,2000.0,other,white floral,citrus,floral,"melon, violet leaf, lemon, plum, bergamot, mandarin orange, ozonic notes, jasmine, lilac, gardenia, orange blossom, sandalowood, amber, cedar, musk",cheap
miami-party,avon,women,3.5,220,2012.0,citrus,fruity,fresh,tropical,"blood orange, kumquat, pitahaya, palm leaf, water lily, cyclamen, musk, amber, teak wood",cheap
300-km-h-intense,avon,men,3.5,56,2013.0,other,other,woody,warm spicy,"ginger, geranium, citruses, basil, violet leaves, cedar, anise, petitgrain, patchouli, vetiver, moss, teak wood, guaiac wood, sandalwood, amber, musk",cheap
aquavibe-abraca-aquavibe-laugh-more,avon,women,3.5,36,2017.0,citrus,white floral,fresh,fruity,"mandarin orange, lemon, fennel, lily-of-the-valley, raspberry, violet leaf, musk, amber, tonka bean",cheap
musk-oxygen,avon,men,3.5,42,2011.0,other,citrus,aromatic,fresh spicy,"bergamot, lime, mandarin orange, lavender, lavender, patchouli, amber, cedar",cheap
eve-embrace,avon,women,3.5,162,2020.0,fruity,other,rose,patchouli,"raspberry, strawberry, violet, rose, iris, osmanthus, patchouli, musk, amberwood, caramel",cheap
full-speed-intense,avon,men,3.5,54,,woody,aromatic,fresh spicy,warm spicy,"geranium, ginger, cedar, basil, anise, vetiver, teak wood, patchouli, guaiac wood",cheap
perceive-silk,avon,women,3.5,100,2021.0,other,white floral,powdery,citrus,"italian mandarin, jasmine, musk",cheap
pur-blanca-blush,avon,women,3.5,707,2008.0,floral,other,fruity,rose,"red currant, bergamot, ivy, rose, peony, lilac, water lily, carnation, dried fruits, musk, cedar",cheap
summer-white-bali,avon,women,3.5,109,2020.0,floral,other,musky,woody,"pomegranate, frangipani, musk",cheap
